id;street_address;postal_code;city;state_province
1;mobile Fish;Home Loan Account Table Computer;South Sammieborough;Metal deposit
2;Producer;Implementation Electronics Officer;Elliottstad;Grocery Home
3;Investment Account Steel;Coordinator;South Aubreemouth;grey Cambridgeshire
4;Canyon HDD;Table Small Frozen Sausages Planner;Hoppeburgh;Intelligent
5;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;Nicolasburgh;Costa Rica Mayotte
6;Industrial;connect Markets Chief;Monaside;Awesome
7;Aruba;software scale interactive;McGlynnborough;mission-critical Faroe Islands Plastic
8;Car Industrial deliverables;orange Books;Dooleychester;application quantify Unbranded Plastic Tuna
9;Internal;Investment Account archive Fantastic Plastic Chicken;New Monte;withdrawal COM
10;embrace Developer;synthesize Idaho compress;North Joyce;partnerships Grocery Intelligent
